component_id,component_layer,file_path,route_family,has_activation_triggers,has_input_contract,has_output_contract,has_upstream_pointer,has_downstream_pointer,has_quality_gate,has_fallback,has_validator_binding,has_lineage_fields,has_provider_boundary,depth_status,production_risk
SUPREME_VISION_COUNCIL_1_REMAINING,director,directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,analytics;audio;editing;music,true,false,false,false,true,true,true,true,true,false,MISSING_IO_SCHEMA,HIGH
str,director,directors/DIRECTORS_COMPLETE_REGISTRY.py,analytics;editing;platform;research,true,false,true,true,true,true,true,true,false,false,HISTORICAL_ONLY,LOW
SHADOW_EMPIRE_DIRECTOR_REGISTRY_MANIFEST,director,directors/DIRECTOR_REGISTRY_MANIFEST.yaml,audio;editing;publishing;research,false,false,false,false,false,true,false,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_GARUDA,director,directors/cinematic/garuda.md,audio;platform;publishing;video,true,false,true,true,true,true,true,false,true,false,HISTORICAL_ONLY,LOW
CINEMATIC_COUNCIL_REMAINING_DIRECTORS_23-25,director,directors/cinematic/garuda_varuna_indra_summary.md,audio;editing;platform;publishing,true,false,false,false,true,true,false,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_HANUMAN,director,directors/cinematic/hanuman.md,audio;editing;research;script,true,false,true,true,true,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_INDRA,director,directors/cinematic/indra.md,audio;editing,true,false,true,true,true,true,true,true,true,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_NATARAJA,director,directors/cinematic/nataraja.md,audio;editing;music;script,true,false,true,true,true,true,true,true,true,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_VARUNA,director,directors/cinematic/varuna.md,platform,true,false,true,true,true,true,true,true,true,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_KAMA,director,directors/distribution/kama.md,analytics;platform;research;script,true,true,true,true,true,true,true,false,false,false,MISSING_VALIDATOR,HIGH
DIRECTOR:_SARASWATI,director,directors/distribution/saraswati.md,audio;image;platform;publishing,true,false,true,true,true,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_ARUNA,director,directors/kernel/aruna.md,trend_research,true,false,true,false,true,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_KUBERA,director,directors/kernel/kubera.md,platform;voice,true,false,true,false,false,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_YAMA,director,directors/kernel/yama.md,platform,true,false,true,false,false,true,true,true,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_AGNI,director,directors/production/agni.md,script;voice,true,true,true,true,true,true,true,false,false,false,MISSING_VALIDATOR,HIGH
DIRECTOR:_ARJUNA,director,directors/production/arjuna.md,audio;script;voice,true,true,true,true,true,true,true,true,true,false,SHALLOW_CONTRACT,MEDIUM
DIRECTOR:_MAYA,director,directors/production/maya.md,audio;editing;music;script,true,false,true,true,true,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_TUMBURU,director,directors/production/tumburu.md,audio;editing;music;script,true,true,true,true,true,true,true,true,false,false,SHALLOW_CONTRACT,MEDIUM
DIRECTOR:_VISHWAKARMA,director,directors/production/vishwakarma.md,audio;editing;script;video,true,false,true,true,true,true,true,true,false,false,HISTORICAL_ONLY,LOW
DIRECTOR:_AGASTYA,director,directors/research/agastya.md,research,true,false,true,false,false,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_GANESHA,director,directors/research/ganesha.md,publishing;research;script,true,true,true,true,true,true,true,true,true,false,SHALLOW_CONTRACT,MEDIUM
DIRECTOR:_PARASHARA,director,directors/research/parashara.md,platform;research;script;video,true,false,true,false,false,true,true,false,false,false,HISTORICAL_ONLY,LOW
DIRECTOR:_VALMIKI,director,directors/research/valmiki.md,research;script,true,true,true,false,false,true,true,false,false,false,HISTORICAL_ONLY,LOW
DIRECTOR:_VYASA,director,directors/research/vyasa.md,audio;platform;research;script,true,true,true,false,true,true,true,true,true,false,MISSING_COMMUNICATION_POINTERS,HIGH
DIRECTOR:_CHANAKYA,director,directors/strategy/chanakya.md,platform;research;script;voice,true,false,true,false,true,true,true,false,true,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_DURGA,director,directors/strategy/durga.md,UNKNOWN,true,false,false,false,true,true,false,false,true,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_NARADA,director,directors/strategy/narada.md,analytics;audio;music;platform,true,false,true,true,true,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_RAVANA,director,directors/strategy/ravana.md,research,true,false,true,false,false,true,false,false,true,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_YUDHISHTHIRA,director,directors/strategy/yudhishthira.md,UNKNOWN,true,true,false,false,false,true,false,true,true,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_BRAHMA,director,directors/supreme_vision/brahma.md,analytics;research,true,false,false,true,false,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
DIRECTOR:_KRISHNA,director,directors/supreme_vision/krishna.md,analytics;audio;platform;research,true,true,true,true,true,true,true,true,false,false,HISTORICAL_ONLY,LOW
DIRECTOR:_SHAKTI,director,directors/supreme_vision/shakti.md,analytics;audio;platform;script,true,false,true,false,true,true,true,false,false,false,MISSING_IO_SCHEMA,HIGH
shiva,director,directors/supreme_vision/shiva.md,audio;research;script;voice,true,false,false,true,true,true,true,true,true,false,MISSING_IO_SCHEMA,HIGH
