component_file,component_layer,component_id,pre_status,post_status,contract_block_added,io_schema_added,communication_pointer_added,validator_binding_added,fallback_added,provider_boundary_added,lineage_added,needs_human_review
directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,DIRECTOR,SUPREME_VISION_COUNCIL_1_REMAINING,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/DIRECTORS_COMPLETE_REGISTRY.py,DIRECTOR,str,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/DIRECTOR_REGISTRY_MANIFEST.yaml,DIRECTOR,SHADOW_EMPIRE_DIRECTOR_REGISTRY_MANIFEST,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/cinematic/garuda.md,DIRECTOR,DIRECTOR:_GARUDA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/cinematic/garuda_varuna_indra_summary.md,DIRECTOR,CINEMATIC_COUNCIL_REMAINING_DIRECTORS_23-25,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/cinematic/hanuman.md,DIRECTOR,DIRECTOR:_HANUMAN,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/cinematic/indra.md,DIRECTOR,DIRECTOR:_INDRA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/cinematic/nataraja.md,DIRECTOR,DIRECTOR:_NATARAJA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/cinematic/varuna.md,DIRECTOR,DIRECTOR:_VARUNA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/distribution/kama.md,DIRECTOR,DIRECTOR:_KAMA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/distribution/saraswati.md,DIRECTOR,DIRECTOR:_SARASWATI,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/kernel/aruna.md,DIRECTOR,DIRECTOR:_ARUNA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,true
directors/kernel/kubera.md,DIRECTOR,DIRECTOR:_KUBERA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/kernel/yama.md,DIRECTOR,DIRECTOR:_YAMA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/production/agni.md,DIRECTOR,DIRECTOR:_AGNI,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/production/arjuna.md,DIRECTOR,DIRECTOR:_ARJUNA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/production/maya.md,DIRECTOR,DIRECTOR:_MAYA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/production/tumburu.md,DIRECTOR,DIRECTOR:_TUMBURU,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/production/vishwakarma.md,DIRECTOR,DIRECTOR:_VISHWAKARMA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/research/agastya.md,DIRECTOR,DIRECTOR:_AGASTYA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/research/ganesha.md,DIRECTOR,DIRECTOR:_GANESHA,PARTIAL_OR_BETTER,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/research/parashara.md,DIRECTOR,DIRECTOR:_PARASHARA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/research/valmiki.md,DIRECTOR,DIRECTOR:_VALMIKI,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/research/vyasa.md,DIRECTOR,DIRECTOR:_VYASA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/strategy/chanakya.md,DIRECTOR,DIRECTOR:_CHANAKYA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/strategy/durga.md,DIRECTOR,DIRECTOR:_DURGA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,true
directors/strategy/narada.md,DIRECTOR,DIRECTOR:_NARADA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/strategy/ravana.md,DIRECTOR,DIRECTOR:_RAVANA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/strategy/yudhishthira.md,DIRECTOR,DIRECTOR:_YUDHISHTHIRA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,true
directors/supreme_vision/brahma.md,DIRECTOR,DIRECTOR:_BRAHMA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/supreme_vision/krishna.md,DIRECTOR,DIRECTOR:_KRISHNA,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/supreme_vision/shakti.md,DIRECTOR,DIRECTOR:_SHAKTI,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/supreme_vision/shiva.md,DIRECTOR,shiva,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
directors/supreme_vision/vishnu.md,DIRECTOR,DIRECTOR:_VISHNU,MISSING_IO_SCHEMA,MAC_06_2B_CONTRACT_BLOCK_PRESENT,true,true,true,true,true,true,true,false
