pointer_name,exists,source_defined,target_defined,trigger_defined,input_packet_defined,output_packet_defined,validation_defined,failure_mode_defined,fallback_defined,lineage_defined,validator_binding_defined,status,gap
Director -> Agent,true,true,true,true,true,true,true,true,true,true,true,PASS,
Agent -> Sub Agent,true,true,true,true,true,true,true,true,true,true,true,PASS,
Sub Agent -> Skill,true,true,true,true,true,true,true,true,true,true,true,PASS,
Skill -> Sub Skill,true,true,true,true,true,true,true,true,true,true,true,PASS,
Research -> Script,true,true,true,true,true,true,true,true,true,true,true,PASS,
Script -> Debate,true,true,true,true,true,true,true,true,true,true,true,PASS,
Debate -> Refinement,true,true,true,true,true,true,true,true,true,true,true,PASS,
Refinement -> Final Script,true,true,true,true,true,true,true,true,true,true,true,PASS,
Final Script -> Voice Context,true,true,true,true,true,true,true,true,true,true,true,PASS,
Final Script -> Image Context,true,true,true,true,true,true,true,true,true,true,true,PASS,
Final Script -> Video Context,true,true,true,true,true,true,true,true,true,true,true,PASS,
Final Script -> Music/SFX Context,true,true,true,true,true,true,true,true,true,true,true,PASS,
Final Script -> Editing Context,true,true,true,true,true,true,true,true,true,true,true,PASS,
Media Context -> Provider Handoff,true,true,true,true,true,true,true,true,true,true,true,PASS,
Provider Handoff -> Quality Gate,true,true,true,true,true,true,true,true,true,true,true,PASS,
Quality Gate -> Lineage,true,true,true,true,true,true,true,true,true,true,true,PASS,
Lineage -> Approval Gate,true,true,true,true,true,true,true,true,true,true,true,PASS,
