check_name,validator_rule_present,fixture_present,bad_fixture_fails,good_fixture_passes,status,gap
universal_component_contract_present,true,true,not_applicable,true,PASS,
component_selected_but_not_consumed,true,false,not_applicable,true,PARTIAL,fixture_missing
selected_component_missing_input_schema,true,true,true,true,PASS,
selected_component_missing_output_schema,true,true,true,true,PASS,
selected_component_missing_communication_pointer,true,true,true,true,PASS,
selected_component_missing_validator_binding,true,false,not_applicable,true,PARTIAL,fixture_missing
selected_component_missing_fallback,true,false,not_applicable,true,PARTIAL,fixture_missing
script_segment_packet_present,true,true,true,true,PASS,
voice_context_packet_present,true,true,true,true,PASS,
visual_context_packet_present,true,true,true,true,PASS,
video_context_packet_present,true,true,true,true,PASS,
music_sfx_packet_present,true,false,not_applicable,true,PARTIAL,fixture_missing
editing_timeline_packet_present,true,false,not_applicable,true,PARTIAL,fixture_missing
provider_handoff_packet_present,true,true,not_applicable,true,PASS,
media_quality_gate_packet_present,true,true,true,true,PASS,
lineage_approval_packet_present,true,true,not_applicable,true,PASS,
quality_scores_present,true,true,not_applicable,true,PASS,
segment_level_regeneration_actions_present,true,true,not_applicable,true,PASS,
