article_requirement,repo_file_patched,route_connected,validator_connected,provider_execution_enabled,status,gap_remaining
timed script segments,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual description per segment,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual style guide,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
voiceover timing metadata,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
segment-level regeneration,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
final assembly/editing log,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
platform-specific content packages,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
schema validation before downstream,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
typed provider/tool handoff,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
human review checkpoint,registries/route_manifests/script_generation.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
timed script segments,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual description per segment,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual style guide,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
voiceover timing metadata,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
segment-level regeneration,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
final assembly/editing log,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
platform-specific content packages,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
schema validation before downstream,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
typed provider/tool handoff,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
human review checkpoint,registries/route_manifests/context_engineering.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
timed script segments,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual description per segment,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual style guide,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
voiceover timing metadata,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
segment-level regeneration,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
final assembly/editing log,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
platform-specific content packages,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
schema validation before downstream,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
typed provider/tool handoff,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
human review checkpoint,registries/route_manifests/voice_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
timed script segments,registries/route_manifests/avatar_video_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual description per segment,registries/route_manifests/avatar_video_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
visual style guide,registries/route_manifests/avatar_video_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
voiceover timing metadata,registries/route_manifests/avatar_video_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
segment-level regeneration,registries/route_manifests/avatar_video_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
final assembly/editing log,registries/route_manifests/avatar_video_context.yaml,true,true,false,CONNECTED_WITH_PROVIDER_DISABLED_NOTICE,none
