component_id,component_path,old_needs_human_review,new_needs_human_review,old_status,new_status,route_profile,reason
SUPREME_VISION_COUNCIL_1_REMAINING,directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
str,directors/DIRECTORS_COMPLETE_REGISTRY.py,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
SHADOW_EMPIRE_DIRECTOR_REGISTRY_MANIFEST,directors/DIRECTOR_REGISTRY_MANIFEST.yaml,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_GARUDA,directors/cinematic/garuda.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
CINEMATIC_COUNCIL_REMAINING_DIRECTORS_23-25,directors/cinematic/garuda_varuna_indra_summary.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_HANUMAN,directors/cinematic/hanuman.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_INDRA,directors/cinematic/indra.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_NATARAJA,directors/cinematic/nataraja.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_VARUNA,directors/cinematic/varuna.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_KAMA,directors/distribution/kama.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_SARASWATI,directors/distribution/saraswati.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_ARUNA,directors/kernel/aruna.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,script_debate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_KUBERA,directors/kernel/kubera.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_YAMA,directors/kernel/yama.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_AGNI,directors/production/agni.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_ARJUNA,directors/production/arjuna.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_MAYA,directors/production/maya.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,provider_handoff_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_TUMBURU,directors/production/tumburu.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,provider_handoff_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_VISHWAKARMA,directors/production/vishwakarma.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,provider_handoff_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_AGASTYA,directors/research/agastya.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,research_synthesis_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_GANESHA,directors/research/ganesha.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,lineage_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_PARASHARA,directors/research/parashara.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,script_generation_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_VALMIKI,directors/research/valmiki.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_VYASA,directors/research/vyasa.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,provider_handoff_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_CHANAKYA,directors/strategy/chanakya.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,provider_handoff_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_DURGA,directors/strategy/durga.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_NARADA,directors/strategy/narada.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,media_quality_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_RAVANA,directors/strategy/ravana.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,provider_handoff_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
DIRECTOR:_YUDHISHTHIRA,directors/strategy/yudhishthira.md,true,false,MAC_06_2B_CONTRACT_BLOCK_PRESENT,active_production_depth_enriched,approval_gate_profile,MAC-06.2D deterministic profile enrichment resolved exact packets and pointer IDs.
