component_file,bad_value_found,replacement_value,route_profile_used,status
directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/DIRECTORS_COMPLETE_REGISTRY.py,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/DIRECTOR_REGISTRY_MANIFEST.yaml,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/cinematic/garuda.md,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/cinematic/garuda_varuna_indra_summary.md,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/cinematic/hanuman.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/cinematic/indra.md,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/cinematic/nataraja.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/cinematic/varuna.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/distribution/kama.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/distribution/saraswati.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/kernel/aruna.md,UNKNOWN_NEEDS_REVIEW,"inputs=[script_v1_packet, script_segment_packet, research_brief_packet]; outputs=[debate_critique_packet, critique_delta_packet, risk_objection_packet]",script_debate_profile,REPAIRED
directors/kernel/kubera.md,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/kernel/yama.md,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/production/agni.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/production/arjuna.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/production/maya.md,TEMPLATE_ONLY_SHALLOW,"inputs=[voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, approval_packet]; outputs=[provider_handoff_packet, media_quality_gate_packet]",provider_handoff_profile,REPAIRED
directors/production/tumburu.md,TEMPLATE_ONLY_SHALLOW,"inputs=[voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, approval_packet]; outputs=[provider_handoff_packet, media_quality_gate_packet]",provider_handoff_profile,REPAIRED
directors/production/vishwakarma.md,TEMPLATE_ONLY_SHALLOW,"inputs=[voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, approval_packet]; outputs=[provider_handoff_packet, media_quality_gate_packet]",provider_handoff_profile,REPAIRED
directors/research/agastya.md,TEMPLATE_ONLY_SHALLOW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
directors/research/ganesha.md,TEMPLATE_ONLY_SHALLOW,"inputs=[media_quality_gate_packet, lineage_packet, approval_packet]; outputs=[lineage_packet, approval_packet]",lineage_profile,REPAIRED
directors/research/parashara.md,TEMPLATE_ONLY_SHALLOW,"inputs=[research_brief_packet, script_strategy_packet, source_evidence_packet]; outputs=[script_v1_packet, script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet]",script_generation_profile,REPAIRED
directors/research/valmiki.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/research/vyasa.md,TEMPLATE_ONLY_SHALLOW,"inputs=[voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, approval_packet]; outputs=[provider_handoff_packet, media_quality_gate_packet]",provider_handoff_profile,REPAIRED
directors/strategy/chanakya.md,TEMPLATE_ONLY_SHALLOW,"inputs=[voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, approval_packet]; outputs=[provider_handoff_packet, media_quality_gate_packet]",provider_handoff_profile,REPAIRED
directors/strategy/durga.md,UNKNOWN_NEEDS_REVIEW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/strategy/narada.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/strategy/ravana.md,TEMPLATE_ONLY_SHALLOW,"inputs=[voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, approval_packet]; outputs=[provider_handoff_packet, media_quality_gate_packet]",provider_handoff_profile,REPAIRED
directors/strategy/yudhishthira.md,UNKNOWN_NEEDS_REVIEW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/supreme_vision/brahma.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/supreme_vision/krishna.md,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
directors/supreme_vision/shakti.md,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
directors/supreme_vision/shiva.md,TEMPLATE_ONLY_SHALLOW,"inputs=[media_quality_gate_packet, lineage_packet, approval_packet]; outputs=[lineage_packet, approval_packet]",lineage_profile,REPAIRED
directors/supreme_vision/vishnu.md,TEMPLATE_ONLY_SHALLOW,"inputs=[lineage_packet, approval_packet, media_quality_gate_packet]; outputs=[approval_packet, execution_authorization_packet]",approval_gate_profile,REPAIRED
agents/AGENT_RUNTIME_REGISTRY.yaml,TEMPLATE_ONLY_SHALLOW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
agents/agastya/agastya_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_control_plane_001/agent_control_plane_001_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_control_plane_002/agent_control_plane_002_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_control_plane_003/agent_control_plane_003_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_control_plane_004/agent_control_plane_004_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_control_plane_005/agent_control_plane_005_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_evolution_001/agent_evolution_001_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_evolution_002/agent_evolution_002_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_evolution_003/agent_evolution_003_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_evolution_004/agent_evolution_004_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_evolution_005/agent_evolution_005_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[topic_intake_packet, trend_signal_packet, source_evidence_packet]; outputs=[research_brief_packet, source_evidence_packet, claim_risk_packet]",research_synthesis_profile,REPAIRED
agents/agent_governance_001/agent_governance_001_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
agents/agent_governance_002/agent_governance_002_agent.py,UNKNOWN_NEEDS_REVIEW,"inputs=[script_segment_packet, voice_context_packet, visual_context_packet, video_context_packet, music_sfx_packet, editing_timeline_packet, provider_handoff_packet]; outputs=[media_quality_gate_packet, lineage_packet]",media_quality_gate_profile,REPAIRED
