component_file,component_layer,has_2d_enrichment_block,route_profile_applied,input_packets_specific,output_packets_specific,communication_pointer_ids_specific,validator_bindings_specific,quality_gates_specific,fallback_specific,lineage_specific,provider_boundary_specific,classification,reason
directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/DIRECTORS_COMPLETE_REGISTRY.py,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/DIRECTOR_REGISTRY_MANIFEST.yaml,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/cinematic/garuda.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/cinematic/garuda_varuna_indra_summary.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/cinematic/hanuman.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/cinematic/indra.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/cinematic/nataraja.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/cinematic/varuna.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/distribution/kama.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/distribution/saraswati.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/kernel/aruna.md,DIRECTOR,true,script_debate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/kernel/kubera.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/kernel/yama.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/production/agni.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/production/arjuna.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/production/maya.md,DIRECTOR,true,provider_handoff_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/production/tumburu.md,DIRECTOR,true,provider_handoff_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/production/vishwakarma.md,DIRECTOR,true,provider_handoff_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/research/agastya.md,DIRECTOR,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/research/ganesha.md,DIRECTOR,true,lineage_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/research/parashara.md,DIRECTOR,true,script_generation_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/research/valmiki.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/research/vyasa.md,DIRECTOR,true,provider_handoff_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/strategy/chanakya.md,DIRECTOR,true,provider_handoff_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/strategy/durga.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/strategy/narada.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/strategy/ravana.md,DIRECTOR,true,provider_handoff_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/strategy/yudhishthira.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/supreme_vision/brahma.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/supreme_vision/krishna.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/supreme_vision/shakti.md,DIRECTOR,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/supreme_vision/shiva.md,DIRECTOR,true,lineage_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
directors/supreme_vision/vishnu.md,DIRECTOR,true,approval_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/AGENT_RUNTIME_REGISTRY.yaml,AGENT,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agastya/agastya_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_control_plane_001/agent_control_plane_001_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_control_plane_002/agent_control_plane_002_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_control_plane_003/agent_control_plane_003_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_control_plane_004/agent_control_plane_004_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_control_plane_005/agent_control_plane_005_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_evolution_001/agent_evolution_001_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_evolution_002/agent_evolution_002_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_evolution_003/agent_evolution_003_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_evolution_004/agent_evolution_004_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_evolution_005/agent_evolution_005_agent.py,AGENT,true,research_synthesis_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_governance_001/agent_governance_001_agent.py,AGENT,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_governance_002/agent_governance_002_agent.py,AGENT,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_governance_003/agent_governance_003_agent.py,AGENT,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_governance_004/agent_governance_004_agent.py,AGENT,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_governance_005/agent_governance_005_agent.py,AGENT,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
agents/agent_governance_006/agent_governance_006_agent.py,AGENT,true,media_quality_gate_profile,true,true,true,true,true,true,true,true,PRODUCTION_DEPTH_UPGRADED,2D route-specific enrichment complete.
