media_capability,packet_contract,producer_component,consumer_component,route_manifest,validator_rule,quality_metric,exists,connected,provider_boundary_present,depth_status,gap
voice persona,runtime_contracts/media_packets/VOICE_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,voice_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
voice pacing,runtime_contracts/media_packets/VOICE_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,voice_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
pause map,runtime_contracts/media_packets/VOICE_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,voice_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
emotion map,runtime_contracts/media_packets/VOICE_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,voice_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
pronunciation notes,runtime_contracts/media_packets/VOICE_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,voice_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
timestamp strategy,runtime_contracts/media_packets/VOICE_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,voice_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
visual style bible,runtime_contracts/media_packets/VISUAL_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,visual_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
scene prompts,runtime_contracts/media_packets/VISUAL_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,visual_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
negative prompts,runtime_contracts/media_packets/VISUAL_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,visual_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
subject consistency,runtime_contracts/media_packets/VISUAL_CONTEXT_PACKET_CONTRACT.md,component_route_profile_registry profile,route manifest/profile consumer,registries/route_manifests/*.yaml,visual_context_packet_present,media packet quality_metrics,true,true,true,PARTIAL,"route/validator connected, but no executable media planner or packet instance generator"
