file_path,file_type,layer,purpose_in_shadow_os,active_runtime,historical_reference,future_provider_or_n8n,proof_only,route_family,registered,registry_source,has_upstream_pointer,has_downstream_pointer,has_validator_binding,has_schema_or_contract,has_lineage,path_valid,status,gap
.DS_Store,no_ext,unknown,unknown,false,false,false,false,,false,,false,false,false,false,false,true,NON_RUNTIME,
.agents/skills/shadow-content-orchestration/SKILL.md,.md,unknown,unknown,false,false,false,false,,false,,false,false,false,false,true,true,NON_RUNTIME,
.agents/skills/shadow-context-engineering/SKILL.md,.md,unknown,unknown,false,false,true,false,,false,,false,false,false,false,false,true,NON_RUNTIME,
.agents/skills/shadow-research-gate/SKILL.md,.md,unknown,unknown,false,false,false,false,,false,,false,false,false,false,false,true,NON_RUNTIME,
.gitignore,no_ext,unknown,unknown,false,false,false,false,,false,,false,false,false,false,false,true,NON_RUNTIME,
00_READ_ME_FIRST_FOR_MAC_MIGRATION.md,.md,unknown,unknown,false,false,true,false,,false,,false,false,false,false,false,true,NON_RUNTIME,
AGENTS.md,.md,root_startup_law,root_startup_law,true,false,false,false,,false,,false,false,true,true,false,true,NON_RUNTIME,
AGENT_ANTI_DRIFT_RULES.md,.md,unknown,unknown,true,false,false,false,,false,,false,false,true,true,true,true,NON_RUNTIME,broken path references: registries/files.
AGENT_OPERATING_GUIDE.md,.md,unknown,unknown,false,false,true,false,,false,,false,false,false,true,true,true,NON_RUNTIME,broken path references: directors/skills.;directors/agents/skills.
AGENT_READ_ORDER.md,.md,unknown,unknown,true,false,false,false,,false,,false,false,true,true,true,true,NON_RUNTIME,
AGENT_REPO_FIRST_OPERATING_DOCTRINE.md,.md,unknown,unknown,true,false,true,false,,false,,false,false,true,true,true,true,NON_RUNTIME,
AGENT_STARTUP_PROMPT.md,.md,unknown,unknown,true,false,false,false,,false,,false,false,true,true,true,true,NON_RUNTIME,broken path references: directors/agents/subagents/skills/subskills.
COPY_MANIFEST.json,.json,unknown,unknown,false,false,true,false,,false,,false,false,true,true,false,true,NON_RUNTIME,
COPY_MANIFEST.md,.md,unknown,unknown,false,false,true,false,,false,,false,false,false,false,false,true,NON_RUNTIME,
