capability,director_owner,agent_owner,subagent_owner,skill_owner,subskill_owner,packet,validator_rule,quality_metric,exists,connected,depth_status,gap
topic qualification,topic_discovery_profile,topic_discovery_profile,topic_discovery_profile,topic_discovery_profile,PTR_SKILL_SUBSKILL profile-dependent,topic_intake_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
audience clarity,topic_discovery_profile,topic_discovery_profile,topic_discovery_profile,topic_discovery_profile,PTR_SKILL_SUBSKILL profile-dependent,topic_quality_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
trend freshness,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,PTR_SKILL_SUBSKILL profile-dependent,trend_signal_packet,source_breadth_lock_status,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
source evidence,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,PTR_SKILL_SUBSKILL profile-dependent,source_evidence_packet,per_tool_source_map_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
hook engineering,script_generation_profile,script_generation_profile,script_generation_profile,script_generation_profile,PTR_SKILL_SUBSKILL profile-dependent,script_segment_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
retention design,script_generation_profile,script_generation_profile,script_generation_profile,script_generation_profile,PTR_SKILL_SUBSKILL profile-dependent,script_segment_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
emotional arc,script_generation_profile,script_generation_profile,script_generation_profile,script_generation_profile,PTR_SKILL_SUBSKILL profile-dependent,script_segment_packet,script_segment_packet_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
pacing,script_generation_profile,script_generation_profile,script_generation_profile,script_generation_profile,PTR_SKILL_SUBSKILL profile-dependent,script_segment_packet,script_segment_packet_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
timed segments,script_generation_profile,script_generation_profile,script_generation_profile,script_generation_profile,PTR_SKILL_SUBSKILL profile-dependent,script_segment_packet,script_segment_packet_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
script debate,script_debate_profile,script_debate_profile,script_debate_profile,script_debate_profile,PTR_SKILL_SUBSKILL profile-dependent,debate_critique_packet,component_selected_but_not_consumed,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
line-by-line critique,script_debate_profile,script_debate_profile,script_debate_profile,script_debate_profile,PTR_SKILL_SUBSKILL profile-dependent,critique_delta_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
refinement delta,script_refinement_profile,script_refinement_profile,script_refinement_profile,script_refinement_profile,PTR_SKILL_SUBSKILL profile-dependent,refinement_delta_packet,segment_level_regeneration_actions_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
final script scoring,media_quality_gate_profile,media_quality_gate_profile,media_quality_gate_profile,media_quality_gate_profile,PTR_SKILL_SUBSKILL profile-dependent,media_quality_gate_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
platform-specific CTA,editing_packaging_profile,editing_packaging_profile,editing_packaging_profile,editing_packaging_profile,PTR_SKILL_SUBSKILL profile-dependent,platform_content_package_packet,editing_timeline_packet_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
short-form vs long-form distinction,editing_packaging_profile,editing_packaging_profile,editing_packaging_profile,editing_packaging_profile,PTR_SKILL_SUBSKILL profile-dependent,platform_content_package_packet,editing_timeline_packet_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
storytelling rules,script_generation_profile,script_generation_profile,script_generation_profile,script_generation_profile,PTR_SKILL_SUBSKILL profile-dependent,script_v1_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
boring-line detector,script_debate_profile,script_debate_profile,script_debate_profile,script_debate_profile,PTR_SKILL_SUBSKILL profile-dependent,critique_delta_packet,quality_scores_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
hallucination control,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,PTR_SKILL_SUBSKILL profile-dependent,claim_risk_packet,exact_rule_evidence_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
claim confidence,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,research_synthesis_profile,PTR_SKILL_SUBSKILL profile-dependent,claim_risk_packet,per_tool_source_map_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
rewrite loop,script_refinement_profile,script_refinement_profile,script_refinement_profile,script_refinement_profile,PTR_SKILL_SUBSKILL profile-dependent,refinement_delta_packet,segment_level_regeneration_actions_present,profile quality gates,true,true,PARTIAL,contract/profile exists but no executable script-quality runner proves behavior
