subagent_file,subagent_id,execution_lane_specific,route_binding_specific,skill_activation_rules_specific,validation_checkpoint_specific,input_packet_specific,output_packet_specific,pointer_ids_exact,fallback_specific,lineage_specific,classification,gap
subagents/SUB_AGENT_RUNTIME_REGISTRY.yaml,SUB_AGENT_RUNTIME_REGISTRY,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_110/cwf_110_sub_agent.py,cwf_110_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_120/cwf_120_sub_agent.py,cwf_120_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_130/cwf_130_sub_agent.py,cwf_130_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_140/cwf_140_sub_agent.py,cwf_140_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_210/cwf_210_sub_agent.py,cwf_210_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_220/cwf_220_sub_agent.py,cwf_220_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_230/cwf_230_sub_agent.py,cwf_230_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_240/cwf_240_sub_agent.py,cwf_240_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_310/cwf_310_sub_agent.py,cwf_310_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_320/cwf_320_sub_agent.py,cwf_320_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_330/cwf_330_sub_agent.py,cwf_330_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_340/cwf_340_sub_agent.py,cwf_340_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
subagents/cwf_410/cwf_410_sub_agent.py,cwf_410_sub_agent,true,true,true,true,true,true,true,true,true,FAKE_DEPTH,native subagent execution lane is thin; depth mostly appended metadata
