component_id,component_path,old_lifecycle_status,new_lifecycle_status,consumed_by_dag,active_runtime,reason
SUPREME_VISION_COUNCIL_1_REMAINING,directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
str,directors/DIRECTORS_COMPLETE_REGISTRY.py,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
SHADOW_EMPIRE_DIRECTOR_REGISTRY_MANIFEST,directors/DIRECTOR_REGISTRY_MANIFEST.yaml,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_GARUDA,directors/cinematic/garuda.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
CINEMATIC_COUNCIL_REMAINING_DIRECTORS_23-25,directors/cinematic/garuda_varuna_indra_summary.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_HANUMAN,directors/cinematic/hanuman.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_INDRA,directors/cinematic/indra.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_NATARAJA,directors/cinematic/nataraja.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_VARUNA,directors/cinematic/varuna.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_KAMA,directors/distribution/kama.md,ACTIVE_CORE,ACTIVE_CORE,true,true,directly consumed by executable route DAG node
DIRECTOR:_SARASWATI,directors/distribution/saraswati.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_ARUNA,directors/kernel/aruna.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_KUBERA,directors/kernel/kubera.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_YAMA,directors/kernel/yama.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_AGNI,directors/production/agni.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_ARJUNA,directors/production/arjuna.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_MAYA,directors/production/maya.md,DORMANT_FUTURE,DORMANT_FUTURE,false,false,future/provider execution remains disabled
DIRECTOR:_TUMBURU,directors/production/tumburu.md,DORMANT_FUTURE,DORMANT_FUTURE,false,false,future/provider execution remains disabled
DIRECTOR:_VISHWAKARMA,directors/production/vishwakarma.md,DORMANT_FUTURE,DORMANT_FUTURE,false,false,future/provider execution remains disabled
DIRECTOR:_AGASTYA,directors/research/agastya.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_GANESHA,directors/research/ganesha.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_PARASHARA,directors/research/parashara.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_VALMIKI,directors/research/valmiki.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_VYASA,directors/research/vyasa.md,DORMANT_FUTURE,DORMANT_FUTURE,false,false,future/provider execution remains disabled
DIRECTOR:_CHANAKYA,directors/strategy/chanakya.md,DORMANT_FUTURE,DORMANT_FUTURE,false,false,future/provider execution remains disabled
DIRECTOR:_DURGA,directors/strategy/durga.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_NARADA,directors/strategy/narada.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_RAVANA,directors/strategy/ravana.md,DORMANT_FUTURE,DORMANT_FUTURE,false,false,future/provider execution remains disabled
DIRECTOR:_YUDHISHTHIRA,directors/strategy/yudhishthira.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_BRAHMA,directors/supreme_vision/brahma.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_KRISHNA,directors/supreme_vision/krishna.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_SHAKTI,directors/supreme_vision/shakti.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
shiva,directors/supreme_vision/shiva.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
DIRECTOR:_VISHNU,directors/supreme_vision/vishnu.md,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
AGENT_RUNTIME_REGISTRY,agents/AGENT_RUNTIME_REGISTRY.yaml,ACTIVE_CORE,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
agastya_agent,agents/agastya/agastya_agent.py,ACTIVE_CORE,ACTIVE_CORE,true,true,directly consumed by executable route DAG node
agent_control_plane_001_agent,agents/agent_control_plane_001/agent_control_plane_001_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agent_control_plane_002_agent,agents/agent_control_plane_002/agent_control_plane_002_agent.py,DUPLICATE_CANDIDATE,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
