route_id,ordered_nodes_before,ordered_nodes_after,nodes_added,packet_flow_complete,pointers_complete,lifecycle_safe,provider_boundary_safe,status,remaining_gap
topic_discovery,0,2,2,true,true,true,true,PASS,
research_synthesis,0,2,2,true,true,true,true,PASS,
script_generation,7,7,0,true,true,true,true,PASS,
script_debate,0,2,2,true,true,true,true,PASS,
script_refinement,0,2,2,true,true,true,true,PASS,
final_script_shaping,0,2,2,true,true,true,true,PASS,
context_engineering,0,2,2,true,true,true,true,PASS,
voice_context,0,2,2,true,true,true,true,PASS,
visual_context,0,2,2,true,true,true,true,PASS,
video_context,0,2,2,true,true,true,true,PASS,
music_sfx_context,0,2,2,true,true,true,true,PASS,
editing_packaging,0,2,2,true,true,true,true,PASS,
provider_handoff,1,2,1,true,true,true,true,PASS,
media_quality_gate,0,2,2,true,true,true,true,PASS,
lineage,0,2,2,true,true,true,true,PASS,
approval,0,2,2,true,true,true,true,PASS,
