component_file,component_layer,previous_unknown_reason,final_lifecycle_status,active_runtime,consumed_by_dag,final_reason
directors/kernel/aruna.md,DIRECTOR,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
directors/strategy/durga.md,DIRECTOR,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
directors/strategy/yudhishthira.md,DIRECTOR,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,QUARANTINE_REVIEW,false,false,not consumed by executable DAG
agents/agastya/agastya_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,ACTIVE_CORE,true,true,directly consumed by executable route DAG node
agents/agent_control_plane_001/agent_control_plane_001_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agents/agent_control_plane_002/agent_control_plane_002_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agents/agent_control_plane_003/agent_control_plane_003_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agents/agent_control_plane_004/agent_control_plane_004_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agents/agent_control_plane_005/agent_control_plane_005_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agents/agent_evolution_001/agent_evolution_001_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agents/agent_evolution_002/agent_evolution_002_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
agents/agent_evolution_003/agent_evolution_003_agent.py,AGENT,MAC-06.2C active UNKNOWN_NEEDS_REVIEW,DUPLICATE_CANDIDATE,false,false,duplicate candidate quarantined from active execution
