fixture_name,previous_status,expected_result,actual_result_after_patch,fixed,rule_added_or_fixed,status
fail_active_component_missing_lineage.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_active_component_missing_provider_boundary.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_active_component_missing_route_profile.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_active_component_unknown_needs_review.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_approval_missing.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_article_pipeline_contract_only_not_route_connected.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_component_metadata_but_lifecycle_blocks.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_component_registry_all_needs_review.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_component_template_only_shallow.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_false_onboarding_claim.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_gateway_contract_not_loaded.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_generic_input_output_packets.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_invalid_packet_passes.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_lineage_missing.txt,FAILED_IN_2F_V2,FAIL,FAIL,true,last-key-value resolution + runtime/component failure gates,PASS
fail_missing_communication_pointer.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_missing_media_quality_gate.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_missing_script_segment_packet.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
fail_missing_video_context_packet.txt,PASS_IN_2F_V2,FAIL,FAIL,n/a,last-key-value resolution + runtime/component failure gates,PASS
