component_id,component_path,lifecycle_status,active_runtime,consumed_by_dag,safe_inactive,status,gap
SUPREME_VISION_COUNCIL_1_REMAINING,directors/DIRECTORS_05_TO_30_COMPLETE_SPECS.md,QUARANTINE_REVIEW,False,False,True,PASS,
str,directors/DIRECTORS_COMPLETE_REGISTRY.py,QUARANTINE_REVIEW,False,False,True,PASS,
SHADOW_EMPIRE_DIRECTOR_REGISTRY_MANIFEST,directors/DIRECTOR_REGISTRY_MANIFEST.yaml,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_GARUDA,directors/cinematic/garuda.md,QUARANTINE_REVIEW,False,False,True,PASS,
CINEMATIC_COUNCIL_REMAINING_DIRECTORS_23-25,directors/cinematic/garuda_varuna_indra_summary.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_HANUMAN,directors/cinematic/hanuman.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_INDRA,directors/cinematic/indra.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_NATARAJA,directors/cinematic/nataraja.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_VARUNA,directors/cinematic/varuna.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_KAMA,directors/distribution/kama.md,ACTIVE_CORE,True,True,False,PASS,
DIRECTOR:_SARASWATI,directors/distribution/saraswati.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_ARUNA,directors/kernel/aruna.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_KUBERA,directors/kernel/kubera.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_YAMA,directors/kernel/yama.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_AGNI,directors/production/agni.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_ARJUNA,directors/production/arjuna.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_MAYA,directors/production/maya.md,DORMANT_FUTURE,False,False,True,PASS,
DIRECTOR:_TUMBURU,directors/production/tumburu.md,DORMANT_FUTURE,False,False,True,PASS,
DIRECTOR:_VISHWAKARMA,directors/production/vishwakarma.md,DORMANT_FUTURE,False,False,True,PASS,
DIRECTOR:_AGASTYA,directors/research/agastya.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_GANESHA,directors/research/ganesha.md,QUARANTINE_REVIEW,False,False,True,PASS,
DIRECTOR:_PARASHARA,directors/research/parashara.md,QUARANTINE_REVIEW,False,False,True,PASS,
