fixture,expected,actual,pass
fail_active_component_missing_lineage.txt,FAIL,FAIL,True
fail_active_component_missing_provider_boundary.txt,FAIL,FAIL,True
fail_active_component_missing_route_profile.txt,FAIL,FAIL,True
fail_active_component_unknown_needs_review.txt,FAIL,FAIL,True
fail_approval_missing.txt,FAIL,FAIL,True
fail_article_pipeline_contract_only_not_route_connected.txt,FAIL,FAIL,True
mac06_1a_fail_bootstrap_loaded_but_no_route_lock.txt,FAIL,FAIL,True
fail_component_metadata_but_lifecycle_blocks.txt,FAIL,FAIL,True
fail_component_registry_all_needs_review.txt,FAIL,FAIL,True
fail_component_template_only_shallow.txt,FAIL,FAIL,True
fail_false_onboarding_claim.txt,FAIL,FAIL,True
fail_gateway_contract_not_loaded.txt,FAIL,FAIL,True
fail_generic_input_output_packets.txt,FAIL,FAIL,True
mac06_1a_fail_generic_output.txt,FAIL,FAIL,True
mac06_1a_fail_hook_variants_without_scores.txt,FAIL,FAIL,True
mac06_1a_fail_internet_first_before_repo.txt,FAIL,FAIL,True
fail_invalid_packet_passes.txt,FAIL,FAIL,True
mac06_1a_fail_latest_claims_before_source_lock.txt,FAIL,FAIL,True
mac06_1a_fail_latest_watchlist_one_vendor_only.txt,FAIL,FAIL,True
fail_lineage_missing.txt,FAIL,FAIL,True
mac06_1a_fail_mandatory_files_not_read.txt,FAIL,FAIL,True
fail_missing_communication_pointer.txt,FAIL,FAIL,True
fail_missing_media_quality_gate.txt,FAIL,FAIL,True
fail_missing_script_segment_packet.txt,FAIL,FAIL,True
fail_missing_video_context_packet.txt,FAIL,FAIL,True
fail_missing_visual_context_packet.txt,FAIL,FAIL,True
fail_missing_voice_context_packet.txt,FAIL,FAIL,True
mac06_1a_fail_no_shadow_boot_confirmation.txt,FAIL,FAIL,True
fail_operator_mode_no_compact_proof.txt,FAIL,FAIL,True
fail_operator_output_skips_local_enforcement_packet.txt,FAIL,FAIL,True
fail_packet_schema_missing.txt,FAIL,FAIL,True
fail_pointer_file_only_no_pointer_id.txt,FAIL,FAIL,True
fail_provider_execution_falsely_claimed.txt,FAIL,FAIL,True
fail_quality_scorecard_false_pass.txt,FAIL,FAIL,True
mac06_1a_fail_raw_plain_task_claimed_onboarded.txt,FAIL,FAIL,True
fail_registry_path_missing.txt,FAIL,FAIL,True
fail_route_component_missing.txt,FAIL,FAIL,True
fail_route_manifest_exists_but_no_dag.txt,FAIL,FAIL,True
mac06_1a_fail_route_manifest_not_read.txt,FAIL,FAIL,True
mac06_1a_fail_script_before_consumption_lock.txt,FAIL,FAIL,True
fail_selected_component_missing_io_schema.txt,FAIL,FAIL,True
mac06_1a_fail_shadow_alias_without_locks.txt,FAIL,FAIL,True
fail_shadow_script_alias_no_wrapper.txt,FAIL,FAIL,True
mac06_1a_fail_shallow_repo_routing_only.txt,FAIL,FAIL,True
fail_vein_not_connected_to_dag.txt,FAIL,FAIL,True
mac06_1a_partial_manual_rerun_structured_missing_ledgers.txt,PARTIAL,PARTIAL,True
mac06_1a_partial_missing_agent_index.txt,PARTIAL,PARTIAL,True
mac06_1a_partial_missing_content_engineering.txt,PARTIAL,PARTIAL,True
mac06_1a_partial_missing_skill_consumption.txt,PARTIAL,PARTIAL,True
mac06_1a_partial_operator_mode_missing_source_summary.txt,PARTIAL,PARTIAL,True
mac06_1a_partial_role_summary_ledgers_only.txt,PARTIAL,PARTIAL,True
mac06_1a_pass_all_locks_route_manifest_consumed_quality_governed_output.txt,PASS,PASS,True
mac06_1a_pass_bootstrap_consumed_quality_output.txt,PASS,PASS,True
pass_component_depth_full_packet_graph.txt,PASS,PASS,True
pass_mac06_2d_full_component_depth_route_specific_graph.txt,PASS,PASS,True
mac06_1a_pass_minimal_complete.txt,PASS,PASS,True
mac06_1a_pass_shadow_script_operator_mode.txt,PASS,PASS,True
pass_shadow_script_operator_mode_compact_graph.txt,PASS,PASS,True
pass_shadow_script_proof_mode_full_graph.txt,PASS,PASS,True
mac06_1a_pass_with_notice_all_locks_but_rule_depth_partial.txt,PASS_WITH_NOTICE,PASS_WITH_NOTICE,True
mac06_1a_pass_wrapper_required_mode_all_locks.txt,PASS,PASS,True
mac06_1a_pass_wrapper_source_breadth_exact_rule_evidence.txt,PASS,PASS,True
