file_path,change_state,category,notes
agents/AGENT_RUNTIME_REGISTRY.yaml,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agastya/agastya_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_control_plane_001/agent_control_plane_001_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_control_plane_002/agent_control_plane_002_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_control_plane_003/agent_control_plane_003_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_control_plane_004/agent_control_plane_004_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_control_plane_005/agent_control_plane_005_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_evolution_001/agent_evolution_001_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_evolution_002/agent_evolution_002_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_evolution_003/agent_evolution_003_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_evolution_004/agent_evolution_004_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_evolution_005/agent_evolution_005_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_governance_001/agent_governance_001_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_governance_002/agent_governance_002_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_governance_003/agent_governance_003_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
agents/agent_governance_004/agent_governance_004_agent.py,M,Historical/generated scaffolding,MAC-06.2B-2I patch stack plus 2J seal evidence/commit plan
