route_id,validate_route_pass,validate_veins_pass,validate_packets_pass,dry_run_flow_pass,status
topic_discovery,True,True,True,True,PASS
research_synthesis,True,True,True,True,PASS
script_generation,True,True,True,True,PASS
script_debate,True,True,True,True,PASS
script_refinement,True,True,True,True,PASS
final_script_shaping,True,True,True,True,PASS
context_engineering,True,True,True,True,PASS
voice_context,True,True,True,True,PASS
visual_context,True,True,True,True,PASS
video_context,True,True,True,True,PASS
music_sfx_context,True,True,True,True,PASS
editing_packaging,True,True,True,True,PASS
provider_handoff,True,True,True,True,PASS
media_quality_gate,True,True,True,True,PASS
lineage,True,True,True,True,PASS
approval,True,True,True,True,PASS
